"□ 본 서비스에서 제공하는 정보는 법적인 효력이 없으므로 참고용으로만 활용하시기 바랍니다."
"□ 신고정보가 실시간 변경, 해제되어 제공시점에 따라 공개건수 및 내용이 상이할 수 있는 점 참고하시기 바랍니다."
"□ 본 자료는 계약일 기준입니다. (※ 7월 계약, 8월 신고건 → 7월 거래건으로  제공)"
"□ 통계자료 활용시에는 수치가 왜곡될 수 있으니 참고자료로만 활용하시기  바라며,  외부 공개시에는 반드시 신고일 기준으로 집계되는 공식통계를 이용하여 주시기 바랍니다."
""
"* 국토교통부 실거래가 공개시스템의 궁금하신 점이나 문의사항은 콜센터 1533-2949로 연락 주시기 바랍니다."
"□ 검색조건"
"계약일자 : 2023-01-01 ~ 2023-01-31"
"실거래구분 : 상업업무용(매매)"
"주소구분 : 도로명주소"
"시도 : 전체"
"시군구 : 전체"
"도로명 : 전체"
"면적 : 전체"
"금액선택 : 전체"
"NO","시군구","유형","지번","도로명","용도지역","건축물주용도","도로조건","전용/연면적(㎡)","대지면적(㎡)","거래금액(만원)","층","매수","매도","계약년월","계약일","지분구분","건축년도","해제사유발생일","거래유형","중개사소재지"
"408","부산광역시 강서구 대저1동","일반","3**","대저중앙로394번가길","제1종일반주거","제1종근린생활","8m미만","192.00","330.00","63,400","","-","-","202301","28","","2018","-","중개거래","부산 강서구"
"409","경상남도 진주시 하대동","일반","7*","도동로171번길","제2종일반주거","제2종근린생활","12m미만","493.06","246.70","40,000","","-","-","202301","28","","1990","-","중개거래","경남 진주시"
"410","인천광역시 계양구 계산동","집합","9**","하느재로","제2종일반주거","판매","12m미만","11.96"," ","500","","-","-","202301","28","","1991","-","직거래","-"
"411","대구광역시 수성구 범물동","집합","1***","범안로","제3종일반주거","제1종근린생활","25m이상","35.70"," ","19,500","1","-","-","202301","28","","1992","-","중개거래","대구 수성구"
"412","경기도 화성시 향남읍 하길리","일반","4**","서봉로","자연녹지","제2종근린생활","8m미만","301.00","1511.00","107,000","","-","-","202301","28","","2009","-","중개거래","경기 화성시"
"413","서울특별시 금천구 시흥동","일반","4**","시흥대로39길","준공업","기타","8m미만","200.37","116.00","60,000","","-","-","202301","28","","1996","-","중개거래","서울 금천구"
"414","대전광역시 대덕구 덕암동","일반","2*","덕암북로22번길","제2종일반주거","교육연구","12m미만","598.87","491.30","85,000","","-","-","202301","28","","1995","20230806","직거래","-"
"415","경기도 남양주시 별내동","집합","1***","별내중앙로","일반상업","숙박","25m이상","83.91"," ","65,000","16","-","-","202301","28","","2021","-","중개거래","경기 남양주시"
"416","경상북도 칠곡군 동명면 봉암리","일반","8**","동명팔거천3길","제2종일반주거","제2종근린생활","-","94.74","174.00","31,560","","-","-","202301","28","","2023","-","중개거래","대구 북구"
"417","부산광역시 사하구 감천동","집합","6**","감천로73번길","제2종일반주거","제2종근린생활","8m미만","73.09"," ","8,500","","-","-","202301","28","","1979","-","중개거래","부산 사하구"
"418","경기도 화성시 남양읍 온석리","일반","*","무하로110번길","계획관리","제2종근린생활","8m미만","396.00","999.00","66,000","","-","-","202301","28","","2011","-","중개거래","경기 화성시"
"419","경기도 화성시 병점동","집합","8**","효행로","일반상업","제2종근린생활","25m미만","84.82"," ","11,900","6","-","-","202301","28","","2005","-","중개거래","경기 화성시"
"420","광주광역시 서구 금호동","집합","2**","화개1로","제3종일반주거","제1종근린생활","25m미만","38.50"," ","26,000","","-","-","202301","28","","2002","-","직거래","-"
"421","인천광역시 부평구 청천동","집합","1**","세월천로","제3종일반주거","제2종근린생활","25m이상","23.31"," ","3,400","","-","-","202301","28","","1998","-","중개거래","인천 중구"
"422","경상북도 구미시 옥계동","집합","5**","","제1종일반주거","제1종근린생활","25m미만","18.98"," ","3,600","1","-","-","202301","28","","1996","-","중개거래","경북 구미시"
"423","전북특별자치도 고창군 고창읍 석정리","집합","8**","석정2로","계획관리","기타","25m미만","46.56"," ","16,760","4","-","-","202301","28","","2017","-","직거래","-"
"424","경기도 수원시 권선구 평동","일반","2*","권선로","일반상업","제2종근린생활","12m미만","822.90","229.00","207,000","","-","-","202301","28","","2004","-","중개거래","경기 수원권선구"
"425","경상남도 김해시 외동","집합","1***","분성로","제3종일반주거","제1종근린생활","25m이상","28.13"," ","5,700","2","-","-","202301","28","","1998","-","중개거래","경남 김해시"
"426","경기도 평택시 이충동","집합","6**","","준주거","제1종근린생활","25m미만","110.70"," ","17,800","5","-","-","202301","28","","2006","-","중개거래","경기 평택시"
"427","경기도 광주시 초월읍 쌍동리","집합","2**","경충대로","계획관리","제1종근린생활","25m미만","104.52"," ","51,000","1","-","-","202301","28","","2021","-","중개거래","경기 광주시"
"428","부산광역시 해운대구 우동","집합","1***","센텀3로","중심상업","숙박","25m이상","34.82"," ","12,500","14","-","-","202301","28","","2007","-","중개거래","부산 해운대구"
"429","경기도 평택시 지산동","집합","1***","송탄공원로","제2종일반주거","제2종근린생활","25m이상","27.00"," ","4,500","3","-","-","202301","28","","1994","-","중개거래","경기 평택시"
"430","경상북도 경주시 건천읍 건천리","일반","4**","","계획관리","제1종근린생활","25m이상","688.92","2585.00","118,939","","-","-","202301","27","","2015","-","중개거래","경북 포항남구"
"431","광주광역시 서구 화정동","집합","2*","내방로343번길","일반상업","판매","25m미만","17.12"," ","3,000","","-","-","202301","27","","1997","20230214","직거래","-"
"432","광주광역시 서구 화정동","집합","2*","내방로343번길","일반상업","판매","25m미만","17.12"," ","3,000","","-","-","202301","27","","1997","20230214","직거래","-"
"433","경기도 화성시 우정읍 운평리","일반","1***","버들로","생산관리","제1종근린생활","12m미만","225.00","655.00","33,000","","-","-","202301","27","","2009","-","중개거래","경기 화성시"
"434","강원특별자치도 홍천군 서면 팔봉리","집합","1***","","계획관리","숙박","12m미만","59.50"," ","2,617","2","-","-","202301","27","지분","2004","-","직거래","-"
"435","강원특별자치도 홍천군 서면 팔봉리","집합","1***","","계획관리","숙박","12m미만","61.28"," ","2,700","2","-","-","202301","27","지분","2010","-","직거래","-"
"436","경상남도 합천군 삼가면 동리","일반","6**","동리외초길","보전관리","제2종근린생활","8m미만","134.38","787.00","5,200","","-","-","202301","27","","2001","-","직거래","-"
"437","서울특별시 송파구 잠실동","일반","3**","백제고분로14길","제3종일반주거","제2종근린생활","8m미만","1805.14","718.80","1,130,000","","-","-","202301","27","","1985","-","중개거래","서울 송파구"
"438","인천광역시 동구 송현동","집합","1**","방축로37번길","준공업","판매","25m이상","30.00"," ","10,500","1","-","-","202301","27","","1997","-","중개거래","인천 동구"
"439","경상남도 고성군 고성읍 성내리","일반","2**","성내로112번길","일반상업","판매","8m미만","1055.60","6.53","900","","-","-","202301","27","지분","2012","-","직거래","-"
"440","인천광역시 동구 송현동","집합","1**","방축로37번길","준공업","업무","25m이상","26.06"," ","6,000","3","-","-","202301","27","","1997","-","중개거래","인천 동구"
"441","부산광역시 기장군 기장읍 시랑리","집합","7**","기장해안로","제3종일반주거","숙박","25m미만","211.68"," ","13,734","","-","-","202301","27","지분","","-","직거래","-"
"442","대구광역시 남구 대명동","일반","2***","양지북길","제2종일반주거","제2종근린생활","8m미만","156.95","141.80","20,000","","-","-","202301","27","","1996","-","중개거래","대구 달서구"
"443","인천광역시 동구 송현동","집합","1**","방축로37번길","준공업","판매","25m이상","26.06"," ","6,000","2","-","-","202301","27","","1997","-","중개거래","인천 동구"
"444","대구광역시 남구 대명동","집합","2***","중앙대로46길","근린상업","제1종근린생활","12m미만","59.50"," ","10,300","2","-","-","202301","27","","1976","-","직거래","-"
"445","경기도 파주시 문산읍 당동리","집합","9**","방촌로","준공업","제1종근린생활","25m미만","42.84"," ","8,300","1","-","-","202301","27","","2018","-","직거래","-"
"446","경상남도 남해군 남면 덕월리","집합","2**","","계획관리","숙박","12m미만","70.76"," ","6,800","11","-","-","202301","27","지분","2007","-","직거래","-"
"447","전북특별자치도 순창군 구림면 안정리","일반","4*","안심길","보전관리","제1종근린생활","8m미만","182.70","990.00","10,986","","-","-","202301","27","","2015","20230202","직거래","-"
"448","경상북도 경주시 북군동","집합","3*","보문로","자연녹지","숙박","25m이상","74.25"," ","1,000","7","-","-","202301","27","지분","1994","-","직거래","-"
"449","경상북도 경주시 성동동","집합","6*","원화로281번길","일반상업","판매","8m미만","22.25"," ","2,000","3","-","-","202301","27","","1992","-","직거래","-"
"450","경기도 부천시 소사구 소사본동","집합","6*","경인로","제2종일반주거","제1종근린생활","25m이상","69.87"," ","5,000","","-","-","202301","27","","2020","-","직거래","-"
"451","서울특별시 종로구 인사동","집합","4*","인사동길","일반상업","기타","25m이상","10.92"," ","9,000","2","-","-","202301","27","","1992","-","직거래","-"
"452","전라남도 목포시 산정동","집합","1***","자유로","제3종일반주거","제2종근린생활","25m이상","47.93"," ","8,426","1","-","-","202301","27","","2019","-","직거래","-"
"453","서울특별시 종로구 효제동","일반","2**","대학로","일반상업","제1종근린생활","25m미만","546.46","162.60","612,000","","-","-","202301","27","","","-","중개거래","서울 종로구"
"454","서울특별시 종로구 창신동","집합","3**","지봉로","일반상업","제1종근린생활","25m이상","35.25"," ","16,000","","-","-","202301","27","","1997","-","직거래","-"
"455","충청남도 당진시 사기소동","일반","4**","역천로","계획관리","제1종근린생활","12m미만","211.50","1619.00","70,000","","-","-","202301","27","","1989","-","직거래","-"
"456","경기도 부천시 원미구 중동","집합","1***","신흥로","중심상업","제2종근린생활","25m이상","32.91"," ","21,000","2","-","-","202301","27","","2007","-","중개거래","경기 부천시"
"457","충청남도 공주시 금흥동","집합","1**","무령로","자연녹지","기타","25m미만","213.30"," ","62,943","1","-","-","202301","27","","2017","-","직거래","-"
"458","충청남도 공주시 금흥동","집합","1**","무령로","자연녹지","기타","25m미만","213.30"," ","62,943","1","-","-","202301","27","","2017","-","직거래","-"
"459","강원특별자치도 속초시 장사동","집합","2*","미시령로2983번길","계획관리","숙박","25m미만","44.41"," ","636","","-","-","202301","27","지분","1989","-","직거래","-"
"460","경상남도 창원시 진해구 자은동","집합","1**","냉천로","제2종일반주거","제2종근린생활","25m미만","32.50"," ","12,000","2","-","-","202301","27","","2018","-","중개거래","경남 창원진해구"
"461","경기도 김포시 양촌읍 유현리","일반","4**","듬박로","자연녹지","제2종근린생활","8m미만","99.00","530.00","58,367","","-","-","202301","27","","0000","20230315","중개거래","경기 김포시"
"462","경기도 파주시 문산읍 당동리","집합","9**","방촌로","준공업","제2종근린생활","25m미만","50.63"," ","8,060","1","-","-","202301","27","","2018","-","직거래","-"
"463","경기도 김포시 양촌읍 유현리","일반","4**","듬박로","자연녹지","제2종근린생활","-","99.00","530.00","58,367","","-","-","202301","27","","2023","-","중개거래","경기 김포시"
"464","경기도 하남시 풍산동","집합","6**","하남대로","준주거","제2종근린생활","25m이상","36.04"," ","17,000","2","-","-","202301","27","","2019","-","중개거래","경기 하남시"
"465","경기도 고양시 덕양구 삼송동","집합","2**","삼송로","준주거","판매","25m이상","64.61"," ","21,000","2","-","-","202301","27","지분","2020","-","직거래","-"
"466","서울특별시 성북구 종암동","일반","1*","종암로18길","제3종일반주거","기타","8m미만","598.36","157.00","240,400","","-","-","202301","27","","2011","-","직거래","-"
"467","강원특별자치도 홍천군 서면 팔봉리","집합","1***","","계획관리","숙박","12m미만","103.68"," ","18,820","7","-","-","202301","27","지분","2004","-","직거래","-"
"468","경기도 용인시 수지구 동천동","집합","8**","신수로","일반상업","판매","25m이상","138.50"," ","120,000","","-","-","202301","27","","","-","중개거래","경기 용인시수지구"
"469","경기도 고양시 덕양구 화정동","집합","9**","백양로","중심상업","업무","25m미만","28.49"," ","9,900","15","-","-","202301","27","","2003","-","중개거래","경기 고양시 덕양구"
"470","경기도 용인시 수지구 동천동","집합","8**","신수로","일반상업","판매","25m이상","414.06"," ","380,000","","-","-","202301","27","","","-","중개거래","경기 용인시수지구"
"471","경기도 화성시 정남면 괘랑리","일반","5**","괘랑2길","자연녹지","제2종근린생활","8m미만","135.00","679.00","51,500","","-","-","202301","27","","2022","-","중개거래","경기 화성시"
"472","서울특별시 강서구 화곡동","집합","3**","가로공원로","제3종일반주거","제2종근린생활","25m이상","36.90"," ","23,000","3","-","-","202301","27","","2016","-","중개거래","서울 강서구"
"473","서울특별시 강서구 화곡동","집합","1***","강서로45길","제2종일반주거","교육연구","25m미만","261.74"," ","250,000","1","-","-","202301","27","","2000","20240511","중개거래","서울 강서구"
"474","경기도 화성시 마도면 두곡리","일반","3**","두곡서길14번길","자연녹지","제1종근린생활","8m미만","130.00","658.00","37,606","","-","-","202301","27","","2009","-","중개거래","경기 화성시"
"475","경기도 포천시 영북면 산정리","일반","2**","산정호수로","계획관리","숙박","12m미만","1635.48","3501.00","206,000","","-","-","202301","27","","1997","-","직거래","-"
"476","충청남도 천안시 서북구 두정동","집합","1***","","제2종일반주거","제1종근린생활","25m미만","142.53"," ","18,000","3","-","-","202301","27","","2003","20230322","중개거래","충남 천안동남구"
"477","충청남도 청양군 청양읍 읍내리","집합","2**","중앙로11길","제2종일반주거","제2종근린생활","8m미만","60.96"," ","9,250","","-","-","202301","27","","2011","-","중개거래","충남 청양군"
"478","충청남도 천안시 서북구 두정동","집합","1***","","제2종일반주거","제1종근린생활","25m미만","142.53"," ","18,000","3","-","-","202301","27","","2003","20230213","중개거래","충남 천안동남구"
"479","경상남도 남해군 남면 덕월리","집합","2**","","계획관리","숙박","12m미만","70.76"," ","6,800","11","-","-","202301","27","지분","2007","-","직거래","-"
"480","충청남도 천안시 서북구 두정동","집합","1***","","제2종일반주거","제1종근린생활","25m이상","142.53"," ","18,000","3","-","-","202301","27","","2003","-","중개거래","충남 천안동남구"
"481","서울특별시 강북구 수유동","집합","2**","한천로166길","제2종일반주거","제2종근린생활","8m미만","21.07"," ","8,000","1","-","-","202301","27","","2017","-","직거래","-"
"482","경기도 고양시 일산동구 설문동","일반","5**","은마길185번길","계획관리","제1종근린생활","8m미만","198.00","896.00","94,000","","-","-","202301","27","","2015","-","직거래","-"
"483","강원특별자치도 고성군 토성면 원암리","집합","4**","","계획관리","숙박","12m미만","61.98"," ","2,700","3","-","-","202301","27","지분","2012","-","직거래","-"
"484","경기도 화성시 병점동","집합","8**","효행로","일반상업","제2종근린생활","25m이상","84.70"," ","11,700","8","-","-","202301","27","","2004","-","직거래","-"
"485","경기도 화성시 병점동","집합","8**","효행로","일반상업","제2종근린생활","25m이상","84.70"," ","11,700","8","-","-","202301","27","","2004","20230228","직거래","-"
"486","서울특별시 강서구 방화동","집합","9**","양천로10길","준주거","판매","25m미만","60.49"," ","129,553","","-","-","202301","27","","2020","-","직거래","-"
"487","경기도 김포시 하성면 원산리","일반","1**","애기봉로774번길","계획관리","제2종근린생활","8m미만","198.00","660.00","60,000","","-","-","202301","27","","2023","-","중개거래","경기 김포시"
"488","경기도 용인시 수지구 동천동","집합","8**","신수로","일반상업","판매","25m이상","270.31"," ","240,000","","-","-","202301","27","","","-","중개거래","경기 용인시수지구"
"489","경상남도 진주시 집현면 장흥리","일반","3**","신당길","자연녹지","제2종근린생활","8m미만","176.10","888.00","52,500","","-","-","202301","27","","2020","-","직거래","-"
"490","인천광역시 연수구 송도동","집합","*","컨벤시아대로","준주거","제1종근린생활","25m이상","108.42"," ","44,250","3","-","-","202301","27","","2005","-","직거래","-"
"491","경기도 양평군 양평읍 도곡리","일반","6**","도곡로240번길","보전관리","제2종근린생활","8m미만","99.47","825.00","44,253","","-","-","202301","27","","2016","-","중개거래","경기 양평군"
"492","충청남도 홍성군 홍북읍 신경리","집합","5**","청사로150번길","중심상업","제2종근린생활","25m이상","206.31"," ","31,000","7","-","-","202301","27","","2016","-","직거래","-"
"493","인천광역시 연수구 송도동","집합","*","컨벤시아대로","준주거","제1종근린생활","25m이상","109.33"," ","44,250","3","-","-","202301","27","","2005","-","직거래","-"
"494","강원특별자치도 원주시 판부면 서곡리","일반","9**","내도매길","계획관리","제1종근린생활","8m미만","197.63","859.00","60,000","","-","-","202301","27","","2021","-","중개거래","강원 원주시"
"495","충청남도 예산군 대술면 화천리","일반","3**","","계획관리","제2종근린생활","8m미만","32.00","179.00","3,000","","-","-","202301","27","","2001","-","직거래","-"
"496","충청북도 보은군 보은읍 삼산리","집합","1*","삼산로1길","준주거","제1종근린생활","12m미만","59.40"," ","4,000","1","-","-","202301","27","","1986","-","직거래","-"
"497","충청북도 보은군 보은읍 삼산리","집합","1*","삼산로1길","준주거","제1종근린생활","12m미만","59.40"," ","4,000","1","-","-","202301","27","","1986","-","직거래","-"
"498","서울특별시 구로구 구로동","집합","*","새말로","일반상업","제2종근린생활","25m이상","35.77"," ","23,000","","-","-","202301","27","","2007","-","중개거래","서울 강서구"
"499","충청남도 천안시 서북구 성정동","일반","1**","봉정로","제2종일반주거","제2종근린생활","25m미만","494.19","168.00","40,000","","-","-","202301","27","","1992","-","중개거래","충남 천안서북구"
"500","강원특별자치도 고성군 토성면 신평리","집합","7**","","계획관리","숙박","12m미만","90.45"," ","2,070","21","-","-","202301","27","지분","2019","-","직거래","-"
"501","경기도 화성시 향남읍 수직리","일반","3**","발안로","계획관리","제2종근린생활","8m미만","579.60","746.00","98,764","","-","-","202301","27","","2014","-","중개거래","경기 오산시"
"502","경기도 화성시 향남읍 수직리","일반","3**","발안로","계획관리","제2종근린생활","8m미만","579.60","986.00","105,000","","-","-","202301","27","","2014","20230705","중개거래","경기 오산시"
"503","인천광역시 연수구 옥련동","집합","6**","청량로199번길","제3종일반주거","교육연구","25m미만","52.02"," ","11,100","3","-","-","202301","27","","1997","-","중개거래","인천 연수구"
"504","경기도 화성시 새솔동","집합","9*","노들길","일반상업","제1종근린생활","25m이상","61.50"," ","30,000","2","-","-","202301","27","","2019","-","직거래","-"
"505","부산광역시 동래구 사직동","집합","7*","아시아드대로171번길","준주거","제1종근린생활","8m미만","20.27"," ","23,300","1","-","-","202301","27","","2018","-","중개거래","부산 동래구"
"506","경기도 화성시 향남읍 수직리","일반","3**","발안로","계획관리","제2종근린생활","8m미만","579.60","746.00","98,764","","-","-","202301","27","","2014","-","중개거래","경기 오산시"
"507","경상북도 경산시 중방동","집합","8**","대학로28길","일반상업","제1종근린생활","25m미만","76.83"," ","123,000","1","-","-","202301","27","","2019","-","직거래","-"
"508","경기도 화성시 새솔동","집합","1*","수노을1로","제2종일반주거","제2종근린생활","25m미만","38.60"," ","32,600","","-","-","202301","27","","2018","-","직거래","-"
"509","경기도 화성시 우정읍 운평리","일반","1***","","생산관리","제1종근린생활","12m미만","389.25","990.00","52,000","","-","-","202301","27","","2009","-","중개거래","경기 화성시"
"510","경기도 광주시 태전동","집합","1**","벼루개로","일반상업","제1종근린생활","25m미만","39.46"," ","53,250","1","-","-","202301","27","","2022","-","직거래","-"
"511","강원특별자치도 춘천시 사농동","일반","4**","샘물단지길","제2종일반주거","업무","8m미만","39.60","139.50","19,543","","-","-","202301","27","지분","2021","-","직거래","-"
"512","경상남도 합천군 합천읍 합천리","일반","3**","충효로3길","일반상업","제2종근린생활","12m미만","12.50","30.00","3,900","","-","-","202301","27","","1986","-","직거래","-"
"513","강원특별자치도 춘천시 후평동","집합","9**","보안길","제3종일반주거","제2종근린생활","25m미만","34.50"," ","16,545","2","-","-","202301","27","","2021","-","직거래","-"
"514","강원특별자치도 춘천시 후평동","집합","9**","보안길","제3종일반주거","제2종근린생활","25m미만","33.75"," ","16,158","2","-","-","202301","27","","2021","-","직거래","-"
"515","강원특별자치도 평창군 대관령면 용산리","집합","9*","","계획관리","숙박","12m미만","84.62"," ","1,450","5","-","-","202301","27","지분","2006","-","직거래","-"
"516","강원특별자치도 춘천시 후평동","집합","9**","보안길","제3종일반주거","제2종근린생활","25m미만","34.50"," ","16,545","2","-","-","202301","27","","2021","-","직거래","-"
"517","강원특별자치도 횡성군 둔내면 두원리","집합","2**","고원로","계획관리","숙박","12m미만","53.60"," ","1,000","3","-","-","202301","27","지분","1996","-","직거래","-"
"518","경기도 화성시 향남읍 구문천리","집합","9**","발안공단로","일반상업","숙박","25m이상","19.01"," ","7,000","16","-","-","202301","27","","2019","-","직거래","-"
"519","전라남도 고흥군 도양읍 봉암리","집합","3***","우주항공로","제2종일반주거","제1종근린생활","25m이상","76.95"," ","6,600","","-","-","202301","27","","1995","-","직거래","-"
"520","부산광역시 수영구 민락동","일반","1**","무학로63번길","제2종일반주거","제2종근린생활","8m미만","228.38","145.80","85,000","","-","-","202301","27","","2016","-","중개거래","부산 수영구"
"521","서울특별시 도봉구 방학동","집합","2**","도당로","제3종일반주거","제1종근린생활","25m미만","14.18"," ","1,800","","-","-","202301","27","","1988","-","직거래","-"
"522","경기도 용인시 기흥구 구갈동","집합","5**","강남동로","일반상업","제2종근린생활","25m미만","32.66"," ","38,500","1","-","-","202301","27","","2004","-","중개거래","경기 용인기흥구"
"523","부산광역시 북구 화명동","집합","2***","화명신도시로","일반상업","제2종근린생활","25m이상","239.97"," ","60,000","10","-","-","202301","27","","2003","-","직거래","-"
"524","경기도 시흥시 배곧동","집합","2**","서울대학로264번길","일반상업","제1종근린생활","25m미만","123.39"," ","49,500","2","-","-","202301","27","","2018","-","중개거래","경기 시흥시"
"525","경기도 김포시 양촌읍 유현리","일반","4**","듬박로","자연녹지","제2종근린생활","8m미만","99.00","530.00","58,367","","-","-","202301","27","","0000","20230316","중개거래","경기 김포시"
"526","경기도 용인시 기흥구 구갈동","집합","5**","강남동로","일반상업","제1종근린생활","25m이상","69.30"," ","9,000","5","-","-","202301","27","","2005","-","중개거래","경기 용인기흥구"
"527","전라남도 영광군 법성면 법성리","일반","6**","진굴비길","준주거","제1종근린생활","8m미만","494.09","173.00","30,000","","-","-","202301","27","지분","2014","-","직거래","-"
"528","경기도 양주시 광적면 가납리","일반","3**","백은로","자연녹지","제1종근린생활","25m미만","169.60","854.00","65,000","","-","-","202301","27","","2015","-","직거래","-"
"529","경기도 용인시 기흥구 구갈동","집합","3**","구갈로72번길","일반상업","제2종근린생활","25m미만","9.94"," ","2,200","","-","-","202301","27","","2004","-","직거래","-"
"530","강원특별자치도 홍천군 서면 팔봉리","집합","1***","","계획관리","숙박","12m미만","59.50"," ","2,617","2","-","-","202301","27","지분","2004","-","직거래","-"
"531","강원특별자치도 홍천군 서면 팔봉리","집합","1***","","계획관리","숙박","12m미만","59.50"," ","2,617","2","-","-","202301","27","지분","2004","-","직거래","-"
"532","강원특별자치도 홍천군 서면 팔봉리","집합","1***","","계획관리","숙박","12m미만","57.62"," ","3,310","8","-","-","202301","27","지분","1995","-","직거래","-"
"533","경상북도 상주시 함창읍 구향리","일반","1**","함창시장1길","일반상업","제1종근린생활","12m미만","98.70","132.00","6,500","","-","-","202301","27","","1983","-","중개거래","경북 상주시"
"534","대전광역시 동구 소제동","일반","2**","철갑3길","제2종일반주거","제2종근린생활","8m미만","50.68","271.00","98,300","","-","-","202301","27","","1961","-","직거래","-"
"535","대전광역시 동구 인동","집합","7*","대흥로206번길","일반상업","제1종근린생활","25m미만","115.10"," ","8,500","1","-","-","202301","27","","1994","-","직거래","-"
"536","부산광역시 해운대구 좌동","집합","1***","세실로","준주거","판매","25m이상","14.40"," ","20,000","1","-","-","202301","27","","1998","-","중개거래","부산 해운대구"
"537","경기도 안산시 단원구 선부동","집합","1***","선부광장1로","일반상업","제2종근린생활","25m이상","381.50"," ","70,000","","-","-","202301","27","","1996","-","중개거래","경기 안산단원구"
"538","서울특별시 용산구 원효로2가","일반","*","백범로","일반상업","제2종근린생활","25m이상","1038.73","243.20","690,000","","-","-","202301","27","","1989","-","중개거래","서울 강남구"
"539","충청남도 천안시 동남구 성남면 용원리","집합","6**","종합휴양지로","계획관리","숙박","25m미만","52.64"," ","8,560","4","-","-","202301","27","지분","2010","-","직거래","-"
"540","충청남도 천안시 동남구 성남면 용원리","집합","6**","종합휴양지로","계획관리","숙박","25m미만","52.64"," ","8,560","2","-","-","202301","27","지분","2010","-","직거래","-"
"541","부산광역시 해운대구 우동","집합","5**","해운대로","일반상업","제1종근린생활","25m이상","52.63"," ","45,000","2","-","-","202301","27","","2015","-","직거래","-"
"542","충청남도 천안시 동남구 성남면 용원리","집합","6**","종합휴양지로","계획관리","숙박","25m미만","53.92"," ","1,500","4","-","-","202301","27","지분","2021","-","직거래","-"
"543","부산광역시 해운대구 우동","집합","5**","해운대로","일반상업","제1종근린생활","25m이상","52.63"," ","55,000","2","-","-","202301","27","","2015","-","직거래","-"
"544","경기도 용인시 수지구 상현동","집합","1***","광교중앙로295번길","일반상업","제2종근린생활","25m미만","39.20"," ","37,000","2","-","-","202301","27","","2018","-","직거래","-"
"545","서울특별시 서초구 서초동","집합","1***","서초중앙로24길","제3종일반주거","제1종근린생활","25m미만","124.46"," ","215,000","2","-","-","202301","27","","2004","-","중개거래","서울 서초구"
"546","경기도 안산시 단원구 선부동","집합","1***","선부광장1로","일반상업","제2종근린생활","25m이상","187.05"," ","32,000","","-","-","202301","27","","1996","-","중개거래","경기 안산단원구"
"547","부산광역시 해운대구 우동","집합","1***","해운대해변로","제3종일반주거","제1종근린생활","25m이상","9.02"," ","22,500","","-","-","202301","27","","1991","-","중개거래","부산 부산진구"
"548","서울특별시 강남구 역삼동","집합","6**","봉은사로34길","제2종일반주거","제1종근린생활","8m미만","57.72"," ","1,787","","-","-","202301","27","지분","","20230217","직거래","-"
"549","경기도 김포시 양촌읍 유현리","일반","4**","듬박로","자연녹지","제2종근린생활","-","86.27","531.00","59,568","","-","-","202301","27","","2023","-","중개거래","경기 김포시"
"550","서울특별시 강남구 청담동","일반","3*","선릉로138길","제2종일반주거","제2종근린생활","8m미만","460.19","166.10","1,000,000","","-","-","202301","27","","2021","-","중개거래","서울 강남구"
"551","서울특별시 강남구 청담동","일반","3*","선릉로138길","제2종일반주거","제2종근린생활","8m미만","460.19","166.10","1,000,000","","-","-","202301","27","","2021","20230217","중개거래","서울 강남구"
"552","서울특별시 강남구 청담동","일반","9*","도산대로","일반상업","제2종근린생활","25m이상","1413.62","588.80","4,665,000","","-","-","202301","27","","1993","-","중개거래","서울 송파구"
"553","인천광역시 중구 운서동","집합","3***","영종대로196번길","일반상업","숙박","25m이상","24.03"," ","12,396","10","-","-","202301","26","","2020","-","직거래","-"
"554","경기도 광명시 광명동","집합","3**","광명로","일반상업","제1종근린생활","25m이상","136.84"," ","61,500","3","-","-","202301","26","","2006","-","중개거래","경기 광명시"
"555","경상북도 청송군 주왕산면 하의리","집합","8**","주왕산로","계획관리","숙박","12m미만","57.70"," ","3,600","2","-","-","202301","26","지분","2017","-","직거래","-"
"556","전북특별자치도 익산시 함열읍 와리","일반","5**","함열로","일반상업","제1종근린생활","25m미만","376.17","185.00","13,500","","-","-","202301","26","","1982","-","직거래","-"
"557","전북특별자치도 익산시 함열읍 와리","일반","5**","","일반상업","제1종근린생활","25m미만","250.71","101.00","21,000","","-","-","202301","26","","1982","-","직거래","-"
"558","경기도 의정부시 민락동","집합","9**","용민로","준주거","제2종근린생활","25m이상","92.00"," ","34,000","2","-","-","202301","26","","2017","-","중개거래","경기 의정부시"
"559","대구광역시 달성군 현풍읍 중리","집합","4**","테크노대로","준주거","제1종근린생활","25m이상","52.00"," ","50,000","1","-","-","202301","26","","2016","-","직거래","-"
"560","서울특별시 송파구 신천동","집합","1*","올림픽로35가길","일반상업","판매","25m미만","36.86"," ","22,900","","-","-","202301","26","","2013","-","중개거래","서울 송파구"
"561","경기도 오산시 원동","일반","7**","원동로37번길","일반상업","기타","8m미만","834.76","300.30","190,000","","-","-","202301","26","","1993","-","중개거래","경기 성남중원구"
"562","서울특별시 강서구 마곡동","집합","7**","방화대로","일반상업","제1종근린생활","25m이상","134.20"," ","68,000","4","-","-","202301","26","","2016","-","중개거래","서울 양천구"
